fuel,plants,plant_share_pct,capacity_gw,capacity_share_pct,avg_capacity_mw,avg_age_2020_years,avg_carbon_intensity,avg_capacity_factor_2020
coal,279,33.859223300970875,143.25620999999998,45.57122485609303,513.4631182795698,41.01433691756272,0.9204324324324323,0.4821455028438456
gas,439,53.27669902912621,142.168544,45.225227486385094,323.8463416856492,20.250569476082006,0.40391999999999995,0.38068461092337286
oil,106,12.864077669902912,28.931971,9.20354765752188,272.94312264150943,30.566037735849058,0.7621714285714285,0.14531224015130736
